countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA,gdp
JPN,cty,2003,4,4,3,4,3,4,0,0,0,4445658071221.86
JPN,cty,2015,2,1,1,1,2,3,1,1,1,4389475622588.97
KAZ,cty,2016,2,2,2,2,2,3,0,0,0,137278320084171
KGZ,cty,2014,64,64,0,0,0,0,2,0,0,7468096566.71158
KHM,cty,2013,51,50,0,0,0,0,3,0,0,15227991395.2201
KOR,cty,2015,3,0,0,0,3,3,3,2,3,1382764027113.82
KOR,cty,2011,2,1,1,1,1,2,1,1,1,1202463682633.85
KWT,cty,2006,74,72,63,81,65,83,8,5,10,101550654720882
KWT,cty,2016,51,49,43,56,44,58,3,1,5,109420059582.92
KWT,cty,2001,54,49,39,59,41,65,9,4,14,75
LAC,agg,2015,51,50,48,52,49,53,3,3,4,4997012843036.87
LCN,agg,2015,51,49,47,51,49,53,4,3,4,5517742948141.7
LIC,agg,2015,90,83,90,90,93,93,29,30,25,517632917094.3
LKA,cty,2015,15,14,0,0,0,0,1,0,0,80604080688.5775
LMC,agg,2015,55,53,48,56,47,56,6,5,6,5784352356553.79
LTU,cty,2001,4,2,1,3,3,5,2,2,2,13
LTU,cty,2006,2,1,1,2,2,3,1,1,1,30216060233.4044
LTU,cty,2011,4,3,3,4,3,5,1,1,1,43476873412803
LTU,cty,2016,3,3,2,3,2,4,0,0,0,42973365745.2891
LUX,cty,2006,3,1,1,2,2,4,2,1,2,42414308116.9239
LVA,cty,2001,6,1,1,2,6,6,4,5,4,121
LVA,cty,2006,3,2,1,3,2,4,1,1,2,21447021570.1028
LVA,cty,2016,4,1,1,1,3,5,3,3,4,27695474684447
MAC,cty,2016,4,2,2,3,3,4,1,1,2,45322259884.1791
MAR,cty,2001,73,67,64,69,72,74,20,23,17,82
MAR,cty,2006,77,74,72,77,76,79,12,14,10,68640825480.9223
MAR,cty,2011,80,79,75,82,77,83,7,7,6,101370474295109
MAR,cty,2016,66,64,59,68,61,70,5,6,5,103345296966607
MDA,cty,2001,17,12,0,0,0,0,7,0,0,28
MDA,cty,2006,11,9,0,0,0,0,2,0,0,3408272498.11516
MDG,cty,2015,97,96,0,0,0,0,22,0,0,9744243531.20119
MEA,agg,2015,59,58,52,63,56,66,4,5,4,3146224148913.01
MEX,cty,2006,48,46,43,49,44,51,3,3,3,975387131716089
MEX,cty,2013,43,42,40,45,40,46,1,0,2,1274443084716.57
MKD,cty,2001,37,33,30,36,34,39,5,6,5,76
MKD,cty,2006,40,34,30,38,37,43,8,9,7,6861222331.96317
MLI,cty,2012,91,87,0,0,0,0,33,0,0,12442747897.2223
MLT,cty,2011,23,22,19,25,19,27,2,1,3,9500669014.63602
MLT,cty,2016,29,27,0,0,0,0,2,0,0,11442612408.8179
MNA,agg,2015,63,62,57,67,58,68,4,5,4,1441623404793.42
MNG,cty,2007,39,38,37,39,38,41,2,2,2,4234999823.30839
MRT,cty,2004,95,93,0,0,0,0,28,0,0,1833444740.37736
MUS,cty,2006,40,38,0,0,0,0,4,0,0,7028803365.70151
MYS,cty,2017,13,12,0,0,0,0,1,0,0,314707268049991
NAC,agg,2015,8,4,3,5,7,8,4,4,4,19778113935832.2
NER,cty,2014,99,98,98,98,99,99,39,44,34,8229731383.75656
NIC,cty,2006,74,74,73,74,74,75,2,1,3,6763671610.70006
NIC,cty,2013,70,69,65,73,65,74,2,0,3,10982972256.3787
NLD,cty,2006,1,1,0,1,1,1,0,1,0,733340860619747
NLD,cty,2011,1,0,0,1,1,1,0,1,0,904085980796018
NLD,cty,2016,2,1,1,2,1,2,0,1,0,783528181704567
NLD,cty,2001,1,1,0,1,1,1,0,1,0,86
NOR,cty,2001,12,12,9,14,9,15,0,0,0,38
NOR,cty,2006,9,8,6,11,7,12,1,1,2,345424664369357
NOR,cty,2016,6,6,4,8,4,8,0,0,0,371344761904762
NOR,cty,2011,6,5,4,7,4,7,1,0,1,498831558925.86
NZL,cty,2006,10,8,5,11,7,13,2,2,3,111608845081383
NZL,cty,2011,10,8,6,10,8,12,2,2,3,168461998741295
NZL,cty,2016,11,10,8,12,9,14,1,1,2,187854022728459
OMN,cty,2011,54,53,44,61,46,63,4,3,4,67937581274.3823
OMN,cty,2016,42,41,32,50,33,51,1,1,2,65941482444.7334
PAK,cty,2014,75,65,0,0,0,0,27,0,0,244360888750807
PAN,cty,2013,67,64,61,68,64,70,7,7,7,4.56e+10
PAN,cty,2006,70,70,66,73,67,73,1,2,1,18141666300
PER,cty,2006,68,68,69,67,69,67,1,0,2,88643193061748
PER,cty,2013,56,54,52,55,54,57,4,4,4,201175469114327
POL,cty,2006,13,7,5,9,12,15,7,7,7,344748646558391
POL,cty,2016,6,2,2,2,6,7,4,4,4,472028000405803
POL,cty,2011,10,5,4,7,9,12,5,5,5,528832185770217
PRT,cty,2011,3,2,1,3,2,4,1,1,1,244895101712451
PRT,cty,2016,6,3,3,3,6,6,4,4,3,206275669201916
PRY,cty,2013,74,71,69,74,72,76,11,11,11,38585317742981
PRY,cty,2006,76,74,73,76,74,77,6,6,7,13429430050261
QAT,cty,2006,69,67,60,74,62,77,7,3,10,60882142857.1429
QAT,cty,2011,41,40,34,46,35,47,1,1,1,167775274725275
QAT,cty,2016,35,34,27,40,29,42,2,2,2,151732142857143
ROU,cty,2006,20,16,14,18,18,22,5,5,5,122022997508.01
ROU,cty,2011,20,14,12,16,18,22,7,7,7,183443154234731
ROU,cty,2001,19,12,9,14,17,21,8,8,8,84
RUS,cty,2001,11,4,3,5,9,12,7,6,8,69
RUS,cty,2011,4,1,1,1,3,5,3,2,3,2051661732059.47
RUS,cty,2016,3,1,1,1,2,4,2,2,3,1282723881083.71
RUS,cty,2006,9,2,1,2,8,10,7,6,8,989930542278684
SAS,agg,2015,58,56,0,0,0,0,7,0,0,2697313887065.75
SAU,cty,2016,38,37,0,0,0,0,3,0,0,644935541440
SAU,cty,2011,37,35,22,49,25,51,3,3,3,671238840106667
SEN,cty,2014,74,65,66,64,74,75,26,23,29,19770840285.9946
SGP,cty,2001,10,10,7,12,7,12,0,0,0,128
SGP,cty,2011,3,3,2,4,2,4,0,0,0,279351168707267
SGP,cty,2016,3,3,2,4,2,4,0,0,0,318068476293883
SGP,cty,2006,3,3,2,5,2,5,0,0,0,148630373214173
SLV,cty,2007,55,53,57,50,58,52,4,4,5,17011750900
SRB,cty,2011,12,9,9,9,11,12,3,3,3,49258136128.9672
SRB,cty,2015,8,7,6,9,6,10,1,1,1,39628549949.7295
SSA,agg,2015,87,81,79,83,83,86,24,27,23,1660362619647.97
SSF,agg,2015,87,81,79,83,83,86,24,27,23,1661740323494.26
SVK,cty,2001,6,6,5,7,5,7,0,0,0,70
SVK,cty,2006,6,6,5,6,5,6,0,0,0,70596729394.0534
SVK,cty,2016,9,7,6,7,8,9,2,3,2,89848359304.5293
SVK,cty,2011,4,4,4,5,4,5,0,0,0,98181259740.0919
SVN,cty,2006,7,6,4,7,6,9,2,2,2,39587732028.6037
SVN,cty,2011,6,5,3,6,5,8,2,2,2,51290792018.1074
SVN,cty,2016,6,4,3,5,4,7,2,2,3,44641210338.2514
SWE,cty,2006,7,2,1,2,6,7,5,5,5,420540782304627
SWE,cty,2011,3,2,2,3,3,3,1,1,0,563797423389285
SWE,cty,2016,2,2,1,3,2,3,0,1,0,512205240408433
SWE,cty,2001,2,2,1,2,1,2,0,0,0,60
TCD,cty,2014,98,97,98,97,98,97,21,31,11,13922223233.5184
TGO,cty,2014,86,84,83,85,85,86,9,12,5,4568900619.92456
THA,cty,2011,23,22,19,25,21,26,2,2,2,370818747396833
TTO,cty,2006,40,36,30,41,34,45,6,6,6,18369361094.3886
TTO,cty,2016,21,20,15,24,17,25,1,2,1,21746391333.0334
TTO,cty,2011,23,22,16,28,18,28,1,2,1,25433011405.3017
TUN,cty,2003,73,73,73,74,73,74,0,0,0,27453084982.5378
TUN,cty,2007,69,68,64,71,65,72,2,3,2,38908069299204
TUN,cty,2011,65,65,61,69,61,69,0,0,0,45810626509.4474
TUR,cty,2015,22,18,17,18,21,22,5,5,5,859796872677614
TUR,cty,2011,28,24,23,25,27,28,5,5,4,832523680908.06
UGA,cty,2014,83,81,0,0,0,0,9,0,0,27291879819.3622
UKR,cty,2007,28,18,16,20,26,29,12,12,12,142579603960396
UMC,agg,2015,29,28,37,42,38,44,2,2,2,20866337272423.2
URY,cty,2006,41,41,37,45,37,45,0,0,0,19579457966.0538
URY,cty,2013,42,41,37,46,37,46,1,1,0,57531233350.9101
USA,cty,2001,9,6,0,0,0,0,4,0,0,5
USA,cty,2011,9,2,2,3,8,10,7,6,7,15542581104000
USA,cty,2016,8,4,3,5,7,8,4,4,4,18707188235000
USA,cty,2006,7,4,0,0,0,0,3,0,0,13814611414000
VNM,cty,2011,2,1,0,0,0,0,1,0,0,135539438559709
WLD,agg,2015,48,45,38,43,38,43,8,8,7,75003074210656.5
YEM,cty,2003,86,80,80,80,89,84,29,42,17,11777966673.3897
YEM,cty,2007,94,92,91,93,94,94,24,31,17,21650532264.2322
YEM,cty,2011,95,94,93,94,95,95,19,27,11,32726417878391
ZAF,cty,2016,80,78,72,84,74,85,8,8,9,296340945652684
