countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA,Tax
ECU,cty,2013,63,62,62,62,62,63,2,1,3,0
ECU,cty,2006,78,78,76,79,77,79,1,1,1,0
EGY,cty,2016,70,69,65,74,65,74,1,1,2,0
ESP,cty,2016,5,3,2,4,4,6,1,1,2,13.855461
ESP,cty,2006,7,6,6,7,7,7,0,0,0,16.12144758
ESP,cty,2011,6,6,5,7,5,8,0,0,0,12.44776725
ETH,cty,2015,90,89,0,0,0,0,14,0,0,8.351338267
FIN,cty,2016,3,2,1,2,2,3,1,1,1,20.95264101
FIN,cty,2011,2,1,1,1,2,2,1,1,1,20.13267706
FRA,cty,2006,5,4,3,5,4,6,1,1,1,22.68494295
FRA,cty,2016,7,6,5,7,6,8,1,1,1,23.20483732
FRA,cty,2001,8,5,3,6,7,10,4,4,4,23.48673775
FRA,cty,2011,6,5,5,5,5,6,1,1,1,21.95942516
GAB,cty,2006,37,31,0,0,0,0,9,0,0,0
GBR,cty,2006,7,7,6,8,6,8,0,0,1,25.70130882
GBR,cty,2016,3,3,3,4,3,4,0,0,0,25.47717113
GBR,cty,2011,5,3,3,4,4,5,2,2,2,25.8601462
GEO,cty,2011,17,14,10,17,13,20,4,3,4,23.83348601
GEO,cty,2016,14,14,10,17,11,17,0,0,0,23.47091409
GEO,cty,2006,28,18,15,21,24,31,12,12,13,15.44826286
GRC,cty,2001,11,5,3,8,8,13,5,5,5,20.93777286
GTM,cty,2013,67,64,65,63,68,67,10,10,10,10.92610255
GTM,cty,2006,81,79,79,79,81,80,6,7,5,11.85697131
HIC,agg,2015,9,6,5,8,7,8,2,2,2,15.22144503
HKG,cty,2006,2,1,0,1,2,2,1,1,0,0
HKG,cty,2016,3,1,1,2,3,3,2,3,1,0
HKG,cty,2001,10,3,2,5,9,12,7,7,8,0
HKG,cty,2011,1,1,0,1,1,1,1,1,0,0
HND,cty,2013,75,69,67,71,73,76,17,17,18,15.06324191
HRV,cty,2011,4,1,1,1,2,6,3,2,4,19.21979874
HUN,cty,2006,6,3,2,3,5,6,3,3,3,19.78170634
HUN,cty,2011,9,5,4,6,7,10,3,3,4,21.13499065
HUN,cty,2016,6,3,2,3,5,7,3,3,3,23.32075217
HUN,cty,2001,5,2,1,3,4,7,3,3,3,21.26238088
IBD,agg,2015,40,39,37,44,39,46,2,1,2,12.17337127
IDB,agg,2015,75,67,74,79,77,80,24,30,19,0
IDN,cty,2011,35,34,29,39,29,41,2,0,5,11.15812785
IDN,cty,2006,49,46,41,51,45,53,6,7,4,0
IDX,agg,2015,81,76,84,85,89,89,23,22,20,11.29733602
IND,cty,2017,55,54,0,0,0,0,2,0,0,11.18207933
IRL,cty,2016,2,2,2,3,2,3,0,0,0,19.04531469
IRL,cty,2011,6,3,2,4,5,6,2,3,2,21.9701815
IRN,cty,2006,41,40,38,42,38,43,1,1,1,6.21768141
IRN,cty,2016,36,35,25,44,26,44,1,1,1,0
IRN,cty,2001,52,44,38,51,48,58,15,17,14,5.746903558
IRN,cty,2011,24,24,20,28,20,28,0,0,0,0
ISL,cty,2001,9,8,5,10,6,11,1,1,1,22.84588028
ISL,cty,2006,9,7,4,9,7,11,3,3,2,27.14521056
ISR,cty,2006,17,15,13,16,15,19,3,2,3,26.08284557
ISR,cty,2011,10,7,6,8,8,11,3,3,3,22.72172307
ISR,cty,2001,15,13,11,16,12,18,2,2,2,26.68944428
ISR,cty,2016,12,9,7,11,9,14,3,2,3,23.25358259
ITA,cty,2001,4,3,3,4,4,4,0,0,0,22.28117511
ITA,cty,2011,3,2,2,3,3,3,1,2,1,22.30059686
ITA,cty,2016,3,2,1,3,3,4,1,2,1,23.51605848
ITA,cty,2006,3,2,1,2,3,2,1,1,0,22.12404811
JOR,cty,2015,52,50,47,53,48,55,4,3,5,15.21582467
JPN,cty,2007,4,3,2,3,3,5,1,1,2,10.10618629
JPN,cty,2011,3,1,1,2,2,3,1,1,2,9.356818207
JPN,cty,2003,4,4,3,4,3,4,0,0,0,8.91896344
JPN,cty,2015,2,1,1,1,2,3,1,1,1,11.42357202
KAZ,cty,2016,2,2,2,2,2,3,0,0,0,9.924250197
KGZ,cty,2014,64,64,0,0,0,0,2,0,0,17.54865309
KHM,cty,2013,51,50,0,0,0,0,3,0,0,12.07885296
KOR,cty,2015,3,0,0,0,3,3,3,2,3,13.94804577
KOR,cty,2011,2,1,1,1,1,2,1,1,1,14.43565579
KWT,cty,2006,74,72,63,81,65,83,8,5,10,0.970478453
KWT,cty,2016,51,49,43,56,44,58,3,1,5,0
KWT,cty,2001,54,49,39,59,41,65,9,4,14,1.037286235
LAC,agg,2015,51,50,48,52,49,53,3,3,4,13.08384298
LCN,agg,2015,51,49,47,51,49,53,4,3,4,13.3998559
LIC,agg,2015,90,83,90,90,93,93,29,30,25,0
LKA,cty,2015,15,14,0,0,0,0,1,0,0,12.37995191
LMC,agg,2015,55,53,48,56,47,56,6,5,6,11.87532261
LNX,agg,2015,8,6,4,7,6,7,2,2,2,0
LTU,cty,2001,4,2,1,3,3,5,2,2,2,19.38069762
LTU,cty,2006,2,1,1,2,2,3,1,1,1,20.46218072
LTU,cty,2011,4,3,3,4,3,5,1,1,1,15.50309451
LTU,cty,2016,3,3,2,3,2,4,0,0,0,16.94692465
LUX,cty,2006,3,1,1,2,2,4,2,1,2,24.23872497
LVA,cty,2001,6,1,1,2,6,6,4,5,4,20.69071393
LVA,cty,2006,3,2,1,3,2,4,1,1,2,22.24995347
LVA,cty,2016,4,1,1,1,3,5,3,3,4,23.80102424
MAC,cty,2016,4,2,2,3,3,4,1,1,2,27.62106221
MAR,cty,2001,73,67,64,69,72,74,20,23,17,0
MAR,cty,2006,77,74,72,77,76,79,12,14,10,21.45102144
MAR,cty,2011,80,79,75,82,77,83,7,7,6,23.29675614
MAR,cty,2016,66,64,59,68,61,70,5,6,5,21.44890129
MDA,cty,2001,17,12,0,0,0,0,7,0,0,12.17120031
MDA,cty,2006,11,9,0,0,0,0,2,0,0,19.57105102
MDG,cty,2015,97,96,0,0,0,0,22,0,0,10.39464329
MEA,agg,2015,59,58,52,63,56,66,4,5,4,0
MEX,cty,2006,48,46,43,49,44,51,3,3,3,0
MEX,cty,2013,43,42,40,45,40,46,1,0,2,10.29457862
MKD,cty,2001,37,33,30,36,34,39,5,6,5,0
MKD,cty,2006,40,34,30,38,37,43,8,9,7,18.08266169
MLI,cty,2012,91,87,0,0,0,0,33,0,0,12.99131346
MLT,cty,2011,23,22,19,25,19,27,2,1,3,26.14727413
MLT,cty,2016,29,27,0,0,0,0,2,0,0,25.70966485
MNA,agg,2015,63,62,57,67,58,68,4,5,4,0
MNG,cty,2007,39,38,37,39,38,41,2,2,2,23.47917648
MRT,cty,2004,95,93,0,0,0,0,28,0,0,0
MUS,cty,2006,40,38,0,0,0,0,4,0,0,16.02867142
MYS,cty,2017,13,12,0,0,0,0,1,0,0,13.12704248
NAC,agg,2015,8,4,3,5,7,8,4,4,4,11.31477815
NER,cty,2014,99,98,98,98,99,99,39,44,34,0
NIC,cty,2006,74,74,73,74,74,75,2,1,3,13.68420847
NIC,cty,2013,70,69,65,73,65,74,2,0,3,15.02043496
NLD,cty,2006,1,1,0,1,1,1,0,1,0,21.60001095
NLD,cty,2011,1,0,0,1,1,1,0,1,0,20.22944251
NLD,cty,2016,2,1,1,2,1,2,0,1,0,21.90511014
NLD,cty,2001,1,1,0,1,1,1,0,1,0,21.21415868
NOR,cty,2001,12,12,9,14,9,15,0,0,0,26.1294209
NOR,cty,2006,9,8,6,11,7,12,1,1,2,28.89692287
NOR,cty,2016,6,6,4,8,4,8,0,0,0,21.84428794
NOR,cty,2011,6,5,4,7,4,7,1,0,1,27.67624488
NZL,cty,2006,10,8,5,11,7,13,2,2,3,31.96581296
NZL,cty,2011,10,8,6,10,8,12,2,2,3,25.55528881
NZL,cty,2016,11,10,8,12,9,14,1,1,2,27.39266309
OMN,cty,2011,54,53,44,61,46,63,4,3,4,0
OMN,cty,2016,42,41,32,50,33,51,1,1,2,0
PAK,cty,2014,75,65,0,0,0,0,27,0,0,0
PAN,cty,2013,67,64,61,68,64,70,7,7,7,0
PAN,cty,2006,70,70,66,73,67,73,1,2,1,0
PER,cty,2006,68,68,69,67,69,67,1,0,2,15.6699876
PER,cty,2013,56,54,52,55,54,57,4,4,4,16.43300669
POL,cty,2006,13,7,5,9,12,15,7,7,7,17.18591095
POL,cty,2016,6,2,2,2,6,7,4,4,4,16.37246979
POL,cty,2011,10,5,4,7,9,12,5,5,5,16.69128122
PRT,cty,2011,3,2,1,3,2,4,1,1,1,21.23463396
PRT,cty,2016,6,3,3,3,6,6,4,4,3,22.40247102
PRY,cty,2013,74,71,69,74,72,76,11,11,11,8.97252021
PRY,cty,2006,76,74,73,76,74,77,6,6,7,8.350504183
QAT,cty,2006,69,67,60,74,62,77,7,3,10,0
QAT,cty,2011,41,40,34,46,35,47,1,1,1,0
QAT,cty,2016,35,34,27,40,29,42,2,2,2,0
ROU,cty,2006,20,16,14,18,18,22,5,5,5,17.94705723
ROU,cty,2011,20,14,12,16,18,22,7,7,7,18.07745016
ROU,cty,2001,19,12,9,14,17,21,8,8,8,16.63341608
RUS,cty,2001,11,4,3,5,9,12,7,6,8,15.7786996
RUS,cty,2011,4,1,1,1,3,5,3,2,3,13.91518992
RUS,cty,2016,3,1,1,1,2,4,2,2,3,9.140619348
RUS,cty,2006,9,2,1,2,8,10,7,6,8,16.56821576
SAS,agg,2015,58,56,0,0,0,0,7,0,0,10.50871206
SAU,cty,2016,38,37,0,0,0,0,3,0,0,3.389982246
SAU,cty,2011,37,35,22,49,25,51,3,3,3,2.331966765
SEN,cty,2014,74,65,66,64,74,75,26,23,29,0
SGP,cty,2001,10,10,7,12,7,12,0,0,0,14.58551915
SGP,cty,2011,3,3,2,4,2,4,0,0,0,13.10572195
SGP,cty,2016,3,3,2,4,2,4,0,0,0,13.35034682
SGP,cty,2006,3,3,2,5,2,5,0,0,0,11.83102218
SLV,cty,2007,55,53,57,50,58,52,4,4,5,16.74489602
SRB,cty,2011,12,9,9,9,11,12,3,3,3,19.05474094
SRB,cty,2015,8,7,6,9,6,10,1,1,1,0
SSA,agg,2015,87,81,79,83,83,86,24,27,23,18.86331845
SSF,agg,2015,87,81,79,83,83,86,24,27,23,18.87540444
SVK,cty,2001,6,6,5,7,5,7,0,0,0,17.23454329
SVK,cty,2006,6,6,5,6,5,6,0,0,0,16.75461081
SVK,cty,2016,9,7,6,7,8,9,2,3,2,17.42511915
SVK,cty,2011,4,4,4,5,4,5,0,0,0,15.50155071
SVN,cty,2006,7,6,4,7,6,9,2,2,2,20.83755211
SVN,cty,2011,6,5,3,6,5,8,2,2,2,17.91762013
SVN,cty,2016,6,4,3,5,4,7,2,2,3,18.63167872
SWE,cty,2006,7,2,1,2,6,7,5,5,5,28.46220584
SWE,cty,2011,3,2,2,3,3,3,1,1,0,26.45355436
SWE,cty,2016,2,2,1,3,2,3,0,1,0,27.75667159
SWE,cty,2001,2,2,1,2,1,2,0,0,0,27.93551434
TCD,cty,2014,98,97,98,97,98,97,21,31,11,0
TGO,cty,2014,86,84,83,85,85,86,9,12,5,18.39938624
THA,cty,2011,23,22,19,25,21,26,2,2,2,16.36185216
TTO,cty,2006,40,36,30,41,34,45,6,6,6,30.25758765
TTO,cty,2016,21,20,15,24,17,25,1,2,1,0
TTO,cty,2011,23,22,16,28,18,28,1,2,1,25.6437422
TUN,cty,2003,73,73,73,74,73,74,0,0,0,18.74521178
TUN,cty,2007,69,68,64,71,65,72,2,3,2,19.07081883
TUN,cty,2011,65,65,61,69,61,69,0,0,0,21.19310552
TUR,cty,2015,22,18,17,18,21,22,5,5,5,18.23818729
TUR,cty,2011,28,24,23,25,27,28,5,5,4,18.74408606
UGA,cty,2014,83,81,0,0,0,0,9,0,0,0
UKR,cty,2007,28,18,16,20,26,29,12,12,12,16.50071456
UMC,agg,2015,29,28,37,42,38,44,2,2,2,11.9729675
URY,cty,2006,41,41,37,45,37,45,0,0,0,18.98805557
URY,cty,2013,42,41,37,46,37,46,1,1,0,19.04141239
USA,cty,2001,9,6,0,0,0,0,4,0,0,11.858072
USA,cty,2011,9,2,2,3,8,10,7,6,7,9.573699439
USA,cty,2016,8,4,3,5,7,8,4,4,4,10.98294396
USA,cty,2006,7,4,0,0,0,0,3,0,0,11.31121212
VNM,cty,2011,2,1,0,0,0,0,1,0,0,0
WBC,agg,2015,53,50,49,54,49,55,9,8,8,0
WLD,agg,2015,48,45,38,43,38,43,8,8,7,14.31577323
YEM,cty,2003,86,80,80,80,89,84,29,42,17,0
YEM,cty,2007,94,92,91,93,94,94,24,31,17,0
YEM,cty,2011,95,94,93,94,95,95,19,27,11,0
ZAF,cty,2016,80,78,72,84,74,85,8,8,9,27.10558769
